t,r,u,y
5.24,-0.30183,-1.548,-0.30043
5.25,-0.31142,-1.5259,-0.31475
5.26,-0.32053,-1.4942,-0.33054
5.27,-0.32887,-1.4686,-0.34361
5.28,-0.33716,-1.433,-0.35895
5.29,-0.34428,-1.393,-0.37363
5.3,-0.35072,-1.365,-0.38431
5.31,-0.35651,-1.3332,-0.39498
5.32,-0.36162,-1.297,-0.4061
5.33,-0.36679,-1.2565,-0.41678
5.34,-0.37069,-1.2115,-0.42762
5.35,-0.3738,-1.1644,-0.43768
5.36,-0.37649,-1.1237,-0.4455
5.37,-0.3783,-1.0665,-0.45548
5.38,-0.37964,-1.0155,-0.46326
5.39,-0.3803,-0.967,-0.46971
5.4,-0.3803,-0.90843,-0.47714
5.41,-0.3803,-0.84225,-0.48522
5.42,-0.37991,-0.78737,-0.49056
5.43,-0.37886,-0.7275,-0.4964
5.44,-0.37775,-0.67025,-0.50101
5.45,-0.37624,-0.60543,-0.50574
5.46,-0.37408,-0.541,-0.51019
5.47,-0.37185,-0.49125,-0.51085
5.48,-0.36918,-0.433,-0.51285
5.49,-0.36594,-0.37357,-0.51343
5.5,-0.36257,-0.318,-0.51358
5.51,-0.35868,-0.26463,-0.51258
5.52,-0.35478,-0.21087,-0.51146
5.53,-0.35006,-0.146,-0.51108
5.54,-0.34505,-0.091748,-0.50874
5.55,-0.34005,-0.041999,-0.50529
5.56,-0.33471,0.01075,-0.50185
5.57,-0.32915,0.063999,-0.49818
5.58,-0.32242,0.13825,-0.49701
5.59,-0.31603,0.19888,-0.49367
5.6,-0.30936,0.23725,-0.48505
5.61,-0.30253,0.25886,-0.47282
5.62,-0.29468,0.3275,-0.46926
5.63,-0.28712,0.3865,-0.4647
5.64,-0.27933,0.443,-0.45903
5.65,-0.2712,0.49614,-0.45154
5.66,-0.26227,0.54275,-0.44196
5.67,-0.25354,0.58675,-0.43246
5.68,-0.24508,0.63,-0.42306
5.69,-0.23602,0.66525,-0.41144
5.7,-0.22621,0.70971,-0.40064
5.71,-0.21662,0.753,-0.39009
5.72,-0.20705,0.78475,-0.3773
5.73,-0.19705,0.826,-0.36696
5.74,-0.18656,0.86714,-0.35457
5.75,-0.17603,0.9065,-0.34305
5.76,-0.16602,0.94225,-0.33099
5.77,-0.15574,0.97412,-0.3182
5.78,-0.14412,1.017,-0.30602
5.79,-0.13355,1.048,-0.2929
5.8,-0.12276,1.078,-0.27956
5.81,-0.11198,1.1065,-0.26588
5.82,-0.10097,1.132,-0.25176
5.83,-0.089182,1.1614,-0.23658
5.84,-0.078062,1.1882,-0.22323
5.85,-0.066942,1.2164,-0.21
